작업년도,명절구분,순번,자원명,관리기관구분,기관명,담당자명,연락처,시도,시군구,주소,상세주소,주차장유형,휴일_1_개방일,휴일_2_개방일,휴일_3_개방일,휴일_4_개방일,휴일_1_개방시간,휴일_2_개방시간,휴일_3_개방시간,휴일_4_개방시간,참고사항,경도,위도
2023,설,11,공영주차장(조종면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 조종면 상판리 565일원(명지산리조트 부근),조종면 상판리 565일원(명지산리조트 부근),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.3920113,37.92159809
2023,설,12,공영주차장(조종면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 조종면 현리 277-6,조종면 현리 277-6,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.3497746,37.82042515
2023,설,13,공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 403-13,청평면 청평리 403-13,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4206297,37.73612456
2023,설,14,공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 79-1(조원유통 앞),청평면 청평리 79-1(조원유통 앞),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4187485,37.73516236
2023,설,15,쌈지공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 767-3,가평읍 읍내리 767-3,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5080077,37.83718781
2023,설,16,쌈지공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 969-2,가평읍 읍내리 969-2,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5048248,37.8390515
2023,설,17,쌈지공영주차장(조종면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 조종면 현리 297-3,조종면 현리 297-3,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.3466646,37.82001792
2023,설,18,쌈지공영주차장(조종면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 조종면 현리 547-24,조종면 현리 547-24,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.3503557,37.8214478
2023,설,19,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 426-17(준일아파트 옆),가평읍 426-17(준일아파트 옆),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5151912,37.8315502
2023,설,20,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 달전리 445,"가평읍 달전리 445,590-6,591-13,591-16,591-19",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5119606,37.81323522
2023,설,21,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 달전리 601 일원(가평역),가평읍 달전리 601 일원(가평역),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5095449,37.81471442
2023,설,22,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 468-36,"가평읍 읍내리 468-36,468-5/468-31",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5122182,37.82922665
2023,설,23,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 495-37,"가평읍 읍내리 495-37, 495-48(군청 기록관 부근)",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5103038,37.83014176
2023,설,24,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 616 일원(한전 부근),가평읍 읍내리 616 일원(한전 부근),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5098764,37.83366145
2023,설,25,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 780-1,"가평읍 읍내리 780-1,780-2/779-1,779-5,780-9",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5070999,37.83617572
2023,설,26,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 627-9,"청평면 청평리 627-9,636-1,638-3,806",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4135043,37.73317613
2023,설,27,임시 공영주차장(설악면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 설악면 신천리 438-2,"설악면 신천리 438-2, 438-4, 448-2(세계평화통일 가정연합 부근)",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4900436,37.67867896
2023,설,28,임시 공영주차장(설악면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 설악면 신천리 492-8(미원초등학교 부근),설악면 신천리 492-8(미원초등학교 부근),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4916275,37.67882769
2023,설,29,임시 공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 319-10(청우원룸 앞),청평면 청평리 319-10(청우원룸 앞),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4228925,37.73917694
2023,설,30,임시 공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 633-8 일원(한라빌라 앞),청평면 청평리 633-8 일원(한라빌라 앞),노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4115384,37.73183093
2023,설,31,임시 공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 79-11,"청평면 청평리 79-11, 79-12(365 할인마트 부근)",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4177981,37.73582956
2023,설,32,자투리주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 달전리 581,가평읍 달전리 581,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5101483,37.81338192
2023,설,33,자투리주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 대곡리 255-5,가평읍 대곡리 255-5,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5121595,37.82581493
2023,설,34,자투리주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 대곡리 70-34,가평읍 대곡리 70-34,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5165483,37.81837385
2023,설,35,자투리주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 읍내리 664-4,가평읍 읍내리 664-4,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5079336,37.8343842
2023,설,36,청평면 노상주차장2,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평중앙로 54,청평면 청평중앙로 29 ~ 청평중앙로 54,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4208215,37.738185
2023,설,37,청평면 노상주차장1,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평중앙로 7,청평면 청평중앙로 7 ~ 청평중앙로 29,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4159127,37.7360985
2023,설,38,청평면 노외주차장,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평중앙로 29 옆,청평면 청평중앙로 29 옆,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4178869,37.73704681
2023,설,39,공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 356,"청평면 청평리 356, 356-1",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4232783,37.7383746
2023,설,40,공영주차장(청평면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 357-20,"청평면 청평리 357-20, 358-2",노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4235033,37.73757797
2023,설,41,공영주차장(설악면),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 설악면 신천리 115-4,설악면 신천리 115-4,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4941142,37.67793038
2023,설,42,청평역 공영주차장,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 청평리 121-3,청평면 청평리 121-3,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.424705,37.73520483
2023,설,43,상천역 공영주차장,지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 청평면 상천리 1254-5,청평면 상천리 1254-5,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.4525736,37.76956773
2023,설,44,조종면 공영주차장(1구역),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 조종면 현리 410-46,조종면 현리 410-46,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.3500427,37.81718714
2023,설,45,임시 공영주차장(가평읍),지방자치단체,경기도 가평군,이예솔,031-580-2075,경기도,가평군,경기도 가평군 가평읍 대곡리 95-2,가평읍 대곡리 95-2,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,장기주차 불가,127.5146952,37.81848782
2023,설,46,고양 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 고양동 444,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.9038038,37.70390768
2023,설,47,삼송역 환승공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 삼송동 290,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8972135,37.65291215
2023,설,48,원당임시주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 성사동 331-6  ,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8457257,37.6529257
2023,설,49,성사 제3공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 성사동 708 일원,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8350933,37.65550758
2023,설,50,성사 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 성사동 720,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.838784,37.65359936
2023,설,51,성사 제2공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 성사동 721,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.838612,37.65319918
2023,설,52,주교 제2공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 주교동 148-6,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8330735,37.65651906
2023,설,53,주교 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 주교동 206-1,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8309599,37.65495213
2023,설,54,고양시청 부설주차장,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 주교동 600,주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8322151,37.65809078
2023,설,55,제1권역노상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 주교동 638,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8350232,37.65810645
2023,설,56,삼송1통 임시공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 지축동 765-159 일원,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.9024534,37.65494903
2023,설,57,신도 공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 지축동 766-11,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8997936,37.6560633
2023,설,58,행신2동 행정복지센터,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,"경기도 고양시 덕양구 충경로 30(행신동 717, 718)",주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8330294,37.6151649
2023,설,59,행신 제4임시공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 1007-2,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.832787,37.62251769
2023,설,60,제4권역노상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 행신동 1025,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8357743,37.62241116
2023,설,61,서정마을 제2공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 1079,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8465857,37.61851786
2023,설,62,서정마을 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 1080-6,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8452471,37.61897633
2023,설,63,행신 제7공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 633-101,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8310414,37.62126644
2023,설,64,행신 제4공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 710,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8326751,37.61395374
2023,설,65,행신 제3공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 711,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8326742,37.61441631
2023,설,66,행신 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 728,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8330081,37.61741482
2023,설,67,행신 제2공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 748,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8351816,37.61701297
2023,설,68,행신 제5공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 759,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8355285,37.61442104
2023,설,69,행신 제6공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 764,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8355294,37.61395875
2023,설,70,행신 제9공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 행신동 805,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8434553,37.61442056
2023,설,71,행주산성 부설주차장 하,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 행주외동 60-6,주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.823513,37.60062766
2023,설,72,행주산성 부설주차장 상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 행주외동 62-6,주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8248945,37.6004588
2023,설,73,제3권역노상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 화정동 1090,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.83295,37.63626696
2023,설,74,덕양구청 부설주차장,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 덕양구 화정동 955,주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8322959,37.63713909
2023,설,75,화정역 환승공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,김대성,031-929-4846,경기도,고양시,경기도 고양시 덕양구 화정로 지하 63(화정동),주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8330469,37.63495157
2023,설,76,백마역 공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 마두동 747,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7930754,37.65982877
2023,설,77,일산동구청 부설주차장,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 일산동구 마두동 815,주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7749508,37.65870919
2023,설,78,마두 임시공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 마두동 921,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7862279,37.66034319
2023,설,79,도로관리사업소 차량등록과,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 일산동구 백마로 539(풍동),주차장,부설,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.8077373,37.66586366
2023,설,80,백석 임시공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 백석동 1148,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7923324,37.64994425
2023,설,81,백석역(고양터미널) 환승공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 백석동 1242,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7896988,37.64323357
2023,설,82,백석 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 백석동 1311,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7873459,37.64086932
2023,설,83,백석 제2공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 백석동 1315,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7894742,37.63926065
2023,설,84,제5권역노상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 일산동구 백석동 1546,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7870884,37.64507059
2023,설,85,제6권역노상,지방자치단체,경기도 고양시 고양도시관리공사,조찬희,031-929-4847,경기도,고양시,경기도 고양시 일산동구 장항동 1499,주차장,노상,2023-01-21,2023-01-22,2023-01-23,2023-01-24,미개방,종일개방,종일개방,미개방,"1.21(토), 1.24.(화) 유료 운영",126.7709637,37.65791622
2023,설,86,한류월드 제1공영주차장,지방자치단체,경기도 고양시 고양도시관리공사,윤효중,031-929-4858,경기도,고양시,경기도 고양시 일산동구 장항동 1777,주차장,노외,2023-01-21,2023-01-22,2023-01-23,2023-01-24,종일개방,종일개방,종일개방,종일개방,,126.7565579,37.66307313
